# x	y	u	v	mask
 10.0000	502.0000	     nan	     nan	  1.0000
 22.0000	502.0000	     nan	     nan	  1.0000
 34.0000	502.0000	     nan	     nan	  1.0000
 46.0000	502.0000	     nan	     nan	  1.0000
 58.0000	502.0000	     nan	     nan	  1.0000
 70.0000	502.0000	     nan	     nan	  1.0000
 82.0000	502.0000	     nan	     nan	  1.0000
 94.0000	502.0000	     nan	     nan	  1.0000
106.0000	502.0000	     nan	     nan	  1.0000
118.0000	502.0000	     nan	     nan	  1.0000
130.0000	502.0000	     nan	     nan	  1.0000
142.0000	502.0000	     nan	     nan	  1.0000
154.0000	502.0000	-90.0000	-35.0000	  0.0000
166.0000	502.0000	 81.1728	 80.0000	  0.0000
178.0000	502.0000	     nan	     nan	  1.0000
190.0000	502.0000	     nan	     nan	  1.0000
202.0000	502.0000	     nan	     nan	  1.0000
214.0000	502.0000	 71.9598	 -5.0000	  0.0000
226.0000	502.0000	     nan	     nan	  1.0000
238.0000	502.0000	     nan	     nan	  1.0000
250.0000	502.0000	     nan	     nan	  1.0000
262.0000	502.0000	  1.3893	-25.0000	  0.0000
274.0000	502.0000	  4.0828	-36.3061	  0.0000
286.0000	502.0000	 16.9619	 84.2127	  0.0000
298.0000	502.0000	 19.4013	 85.1214	  0.0000
310.0000	502.0000	-88.2599	 42.0635	  0.0000
322.0000	502.0000	     nan	     nan	  1.0000
334.0000	502.0000	 52.2598	 87.1284	  0.0000
346.0000	502.0000	     nan	     nan	  1.0000
358.0000	502.0000	 31.3244	 10.7083	  0.0000
370.0000	502.0000	 72.1191	-67.3069	  0.0000
382.0000	502.0000	 40.4897	-27.4418	  0.0000
394.0000	502.0000	     nan	     nan	  1.0000
406.0000	502.0000	 -2.2859	  5.5910	  0.0000
418.0000	502.0000	     nan	     nan	  1.0000
430.0000	502.0000	 70.0000	 70.8742	  0.0000
442.0000	502.0000	-61.8298	 70.0000	  0.0000
454.0000	502.0000	     nan	     nan	  1.0000
466.0000	502.0000	-42.3395	 30.1597	  0.0000
478.0000	502.0000	 -9.2349	 61.0989	  0.0000
490.0000	502.0000	-80.0000	  1.6667	  0.0000
502.0000	502.0000	 79.1123	 81.1509	  0.0000
 10.0000	490.0000	-25.0000	-40.0000	  0.0000
 22.0000	490.0000	     nan	     nan	  1.0000
 34.0000	490.0000	     nan	     nan	  1.0000
 46.0000	490.0000	     nan	     nan	  1.0000
 58.0000	490.0000	     nan	     nan	  1.0000
 70.0000	490.0000	     nan	     nan	  1.0000
 82.0000	490.0000	-65.0000	 60.0000	  0.0000
 94.0000	490.0000	     nan	     nan	  1.0000
106.0000	490.0000	 35.0000	 80.0000	  0.0000
118.0000	490.0000	 35.0000	 80.0000	  0.0000
130.0000	490.0000	     nan	     nan	  1.0000
142.0000	490.0000	 -5.0000	 65.0000	  0.0000
154.0000	490.0000	 -0.2920	 75.0000	  0.0000
166.0000	490.0000	     nan	     nan	  1.0000
178.0000	490.0000	     nan	     nan	  1.0000
190.0000	490.0000	     nan	     nan	  1.0000
202.0000	490.0000	 50.0000	-42.3042	  0.0000
214.0000	490.0000	 -5.0000	-22.8828	  0.0000
226.0000	490.0000	 -6.6153	-71.8298	  0.0000
238.0000	490.0000	     nan	     nan	  1.0000
250.0000	490.0000	     nan	     nan	  1.0000
262.0000	490.0000	-13.4768	 15.0000	  0.0000
274.0000	490.0000	-27.9828	 17.4873	  0.0000
286.0000	490.0000	-69.9431	 42.0677	  0.0000
298.0000	490.0000	-63.9236	-38.2250	  0.0000
310.0000	490.0000	-52.7477	-37.7577	  0.0000
322.0000	490.0000	-19.9114	 56.4849	  0.0000
334.0000	490.0000	 -1.7779	-58.8796	  0.0000
346.0000	490.0000	-27.9642	-20.5643	  0.0000
358.0000	490.0000	 71.0130	-25.0000	  0.0000
370.0000	490.0000	 58.0691	-11.7950	  0.0000
382.0000	490.0000	     nan	     nan	  1.0000
394.0000	490.0000	 59.5205	 86.0115	  0.0000
406.0000	490.0000	-80.2556	-41.2356	  0.0000
418.0000	490.0000	     nan	     nan	  1.0000
430.0000	490.0000	 62.7152	 90.0000	  0.0000
442.0000	490.0000	     nan	     nan	  1.0000
454.0000	490.0000	     nan	     nan	  1.0000
466.0000	490.0000	     nan	     nan	  1.0000
478.0000	490.0000	     nan	     nan	  1.0000
490.0000	490.0000	-11.1441	-27.2487	  0.0000
502.0000	490.0000	-10.0000	-28.1344	  0.0000
 10.0000	478.0000	     nan	     nan	  1.0000
 22.0000	478.0000	     nan	     nan	  1.0000
 34.0000	478.0000	     nan	     nan	  1.0000
 46.0000	478.0000	     nan	     nan	  1.0000
 58.0000	478.0000	     nan	     nan	  1.0000
 70.0000	478.0000	     nan	     nan	  1.0000
 82.0000	478.0000	     nan	     nan	  1.0000
 94.0000	478.0000	 64.6537	 -0.0000	  0.0000
106.0000	478.0000	     nan	     nan	  1.0000
118.0000	478.0000	     nan	     nan	  1.0000
130.0000	478.0000	 75.0000	-60.0000	  0.0000
142.0000	478.0000	     nan	     nan	  1.0000
154.0000	478.0000	-90.0000	 70.0000	  0.0000
166.0000	478.0000	     nan	     nan	  1.0000
178.0000	478.0000	 -0.0000	 75.0000	  0.0000
190.0000	478.0000	     nan	     nan	  1.0000
202.0000	478.0000	     nan	     nan	  1.0000
214.0000	478.0000	     nan	     nan	  1.0000
226.0000	478.0000	     nan	     nan	  1.0000
238.0000	478.0000	-85.3763	 74.4984	  0.0000
250.0000	478.0000	-82.5781	-25.9310	  0.0000
262.0000	478.0000	     nan	     nan	  1.0000
274.0000	478.0000	-32.5244	 18.2343	  0.0000
286.0000	478.0000	-48.5374	-21.4634	  0.0000
298.0000	478.0000	     nan	     nan	  1.0000
310.0000	478.0000	 -3.6650	  6.9044	  0.0000
322.0000	478.0000	     nan	     nan	  1.0000
334.0000	478.0000	 72.2816	-21.6257	  0.0000
346.0000	478.0000	-30.9571	-19.8522	  0.0000
358.0000	478.0000	 66.9892	-17.6480	  0.0000
370.0000	478.0000	  0.3704	 46.7953	  0.0000
382.0000	478.0000	-30.1381	-78.9449	  0.0000
394.0000	478.0000	     nan	     nan	  1.0000
406.0000	478.0000	-29.1289	 76.5741	  0.0000
418.0000	478.0000	     nan	     nan	  1.0000
430.0000	478.0000	-73.6101	-36.7668	  0.0000
442.0000	478.0000	     nan	     nan	  1.0000
454.0000	478.0000	 28.0199	-65.0000	  0.0000
466.0000	478.0000	     nan	     nan	  1.0000
478.0000	478.0000	     nan	     nan	  1.0000
490.0000	478.0000	     nan	     nan	  1.0000
502.0000	478.0000	-55.0000	 60.0806	  0.0000
 10.0000	466.0000	     nan	     nan	  1.0000
 22.0000	466.0000	     nan	     nan	  1.0000
 34.0000	466.0000	     nan	     nan	  1.0000
 46.0000	466.0000	     nan	     nan	  1.0000
 58.0000	466.0000	     nan	     nan	  1.0000
 70.0000	466.0000	     nan	     nan	  1.0000
 82.0000	466.0000	-70.0000	-45.0000	  0.0000
 94.0000	466.0000	 64.6209	 -0.0000	  0.0000
106.0000	466.0000	     nan	     nan	  1.0000
118.0000	466.0000	     nan	     nan	  1.0000
130.0000	466.0000	     nan	     nan	  1.0000
142.0000	466.0000	     nan	     nan	  1.0000
154.0000	466.0000	-70.0000	 65.0000	  0.0000
166.0000	466.0000	 35.0000	 90.0000	  0.0000
178.0000	466.0000	 60.0000	-75.0000	  0.0000
190.0000	466.0000	-38.3333	  5.0000	  0.0000
202.0000	466.0000	 61.6667	-25.0000	  0.0000
214.0000	466.0000	     nan	     nan	  1.0000
226.0000	466.0000	 52.0050	 35.0000	  0.0000
238.0000	466.0000	 40.6078	-30.0000	  0.0000
250.0000	466.0000	-80.9505	-22.9370	  0.0000
262.0000	466.0000	 33.1980	-18.0475	  0.0000
274.0000	466.0000	     nan	     nan	  1.0000
286.0000	466.0000	     nan	     nan	  1.0000
298.0000	466.0000	     nan	     nan	  1.0000
310.0000	466.0000	 19.5600	-24.2924	  0.0000
322.0000	466.0000	 60.4179	-20.9991	  0.0000
334.0000	466.0000	-13.9390	 69.5410	  0.0000
346.0000	466.0000	 60.9283	-39.4077	  0.0000
358.0000	466.0000	 -6.4914	-17.7269	  0.0000
370.0000	466.0000	-11.3360	 56.2630	  0.0000
382.0000	466.0000	     nan	     nan	  1.0000
394.0000	466.0000	-36.4673	-23.6622	  0.0000
406.0000	466.0000	     nan	     nan	  1.0000
418.0000	466.0000	-79.4916	-29.0593	  0.0000
430.0000	466.0000	-40.5095	 62.2704	  0.0000
442.0000	466.0000	  0.0000	-30.0000	  0.0000
454.0000	466.0000	-18.8309	  9.1171	  0.0000
466.0000	466.0000	-49.2637	 90.1229	  0.0000
478.0000	466.0000	     nan	     nan	  1.0000
490.0000	466.0000	     nan	     nan	  1.0000
502.0000	466.0000	     nan	     nan	  1.0000
 10.0000	454.0000	     nan	     nan	  1.0000
 22.0000	454.0000	     nan	     nan	  1.0000
 34.0000	454.0000	     nan	     nan	  1.0000
 46.0000	454.0000	     nan	     nan	  1.0000
 58.0000	454.0000	     nan	     nan	  1.0000
 70.0000	454.0000	     nan	     nan	  1.0000
 82.0000	454.0000	     nan	     nan	  1.0000
 94.0000	454.0000	 70.0000	 15.0000	  0.0000
106.0000	454.0000	     nan	     nan	  1.0000
118.0000	454.0000	     nan	     nan	  1.0000
130.0000	454.0000	     nan	     nan	  1.0000
142.0000	454.0000	     nan	     nan	  1.0000
154.0000	454.0000	     nan	     nan	  1.0000
166.0000	454.0000	     nan	     nan	  1.0000
178.0000	454.0000	     nan	     nan	  1.0000
190.0000	454.0000	     nan	     nan	  1.0000
202.0000	454.0000	 48.0101	 60.0000	  0.0000
214.0000	454.0000	 -5.0000	  9.0325	  0.0000
226.0000	454.0000	-81.1686	 11.8053	  0.0000
238.0000	454.0000	     nan	     nan	  1.0000
250.0000	454.0000	 37.4325	-44.1636	  0.0000
262.0000	454.0000	 48.4223	-45.7469	  0.0000
274.0000	454.0000	-58.4467	-25.7710	  0.0000
286.0000	454.0000	 35.0377	-22.2340	  0.0000
298.0000	454.0000	 22.4859	  6.0740	  0.0000
310.0000	454.0000	 20.9834	-22.7312	  0.0000
322.0000	454.0000	     nan	     nan	  1.0000
334.0000	454.0000	 -8.4005	-19.2297	  0.0000
346.0000	454.0000	-18.0859	-22.4479	  0.0000
358.0000	454.0000	     nan	     nan	  1.0000
370.0000	454.0000	 29.9146	-40.2746	  0.0000
382.0000	454.0000	     nan	     nan	  1.0000
394.0000	454.0000	-17.5266	-51.7850	  0.0000
406.0000	454.0000	     nan	     nan	  1.0000
418.0000	454.0000	     nan	     nan	  1.0000
430.0000	454.0000	     nan	     nan	  1.0000
442.0000	454.0000	  0.0000	-40.0000	  0.0000
454.0000	454.0000	-20.8050	  9.1265	  0.0000
466.0000	454.0000	 69.7719	-80.0000	  0.0000
478.0000	454.0000	 40.0000	 80.0000	  0.0000
490.0000	454.0000	     nan	     nan	  1.0000
502.0000	454.0000	     nan	     nan	  1.0000
 10.0000	442.0000	     nan	     nan	  1.0000
 22.0000	442.0000	     nan	     nan	  1.0000
 34.0000	442.0000	     nan	     nan	  1.0000
 46.0000	442.0000	     nan	     nan	  1.0000
 58.0000	442.0000	     nan	     nan	  1.0000
 70.0000	442.0000	 25.0000	-10.0000	  0.0000
 82.0000	442.0000	     nan	     nan	  1.0000
 94.0000	442.0000	-41.9598	-28.0402	  0.0000
106.0000	442.0000	 65.0000	 32.3042	  0.0000
118.0000	442.0000	     nan	     nan	  1.0000
130.0000	442.0000	     nan	     nan	  1.0000
142.0000	442.0000	 50.0000	-28.7969	  0.0000
154.0000	442.0000	     nan	     nan	  1.0000
166.0000	442.0000	     nan	     nan	  1.0000
178.0000	442.0000	     nan	     nan	  1.0000
190.0000	442.0000	     nan	     nan	  1.0000
202.0000	442.0000	  5.0000	 47.4573	  0.0000
214.0000	442.0000	  1.7607	-69.1639	  0.0000
226.0000	442.0000	     nan	     nan	  1.0000
238.0000	442.0000	     nan	     nan	  1.0000
250.0000	442.0000	 20.7133	 13.0291	  0.0000
262.0000	442.0000	 68.9321	-31.8411	  0.0000
274.0000	442.0000	 22.5752	 47.6359	  0.0000
286.0000	442.0000	     nan	     nan	  1.0000
298.0000	442.0000	 -6.0258	-19.1614	  0.0000
310.0000	442.0000	 19.8381	-37.3882	  0.0000
322.0000	442.0000	  4.0363	-18.8110	  0.0000
334.0000	442.0000	-17.9130	-16.3913	  0.0000
346.0000	442.0000	-18.4411	-17.3145	  0.0000
358.0000	442.0000	-20.4846	-19.1150	  0.0000
370.0000	442.0000	     nan	     nan	  1.0000
382.0000	442.0000	 41.7456	-20.3137	  0.0000
394.0000	442.0000	-22.2815	-33.9689	  0.0000
406.0000	442.0000	-26.6873	 76.4813	  0.0000
418.0000	442.0000	 78.5616	 30.9406	  0.0000
430.0000	442.0000	     nan	     nan	  1.0000
442.0000	442.0000	-47.1883	-78.1572	  0.0000
454.0000	442.0000	-51.4502	 15.0000	  0.0000
466.0000	442.0000	 75.0000	 75.0000	  0.0000
478.0000	442.0000	     nan	     nan	  1.0000
490.0000	442.0000	-21.3093	-51.3093	  0.0000
502.0000	442.0000	-84.6206	 30.0000	  0.0000
 10.0000	430.0000	     nan	     nan	  1.0000
 22.0000	430.0000	     nan	     nan	  1.0000
 34.0000	430.0000	     nan	     nan	  1.0000
 46.0000	430.0000	     nan	     nan	  1.0000
 58.0000	430.0000	     nan	     nan	  1.0000
 70.0000	430.0000	     nan	     nan	  1.0000
 82.0000	430.0000	     nan	     nan	  1.0000
 94.0000	430.0000	-45.0000	 65.0000	  0.0000
106.0000	430.0000	-30.0000	 60.0000	  0.0000
118.0000	430.0000	     nan	     nan	  1.0000
130.0000	430.0000	     nan	     nan	  1.0000
142.0000	430.0000	     nan	     nan	  1.0000
154.0000	430.0000	     nan	     nan	  1.0000
166.0000	430.0000	     nan	     nan	  1.0000
178.0000	430.0000	     nan	     nan	  1.0000
190.0000	430.0000	  0.0000	 -5.0000	  0.0000
202.0000	430.0000	     nan	     nan	  1.0000
214.0000	430.0000	 27.3506	 51.1005	  0.0000
226.0000	430.0000	 55.0000	-35.0000	  0.0000
238.0000	430.0000	 40.8075	 -1.5460	  0.0000
250.0000	430.0000	  2.8239	 87.1711	  0.0000
262.0000	430.0000	 43.6763	-37.8106	  0.0000
274.0000	430.0000	 24.1582	 17.8374	  0.0000
286.0000	430.0000	 -4.2208	 29.6921	  0.0000
298.0000	430.0000	     nan	     nan	  1.0000
310.0000	430.0000	-10.7762	-17.4230	  0.0000
322.0000	430.0000	 -9.3799	-16.3972	  0.0000
334.0000	430.0000	-26.2958	-17.8202	  0.0000
346.0000	430.0000	  8.8051	 13.1927	  0.0000
358.0000	430.0000	-18.7457	-31.1917	  0.0000
370.0000	430.0000	-18.2382	-31.6668	  0.0000
382.0000	430.0000	 20.5863	 60.5241	  0.0000
394.0000	430.0000	     nan	     nan	  1.0000
406.0000	430.0000	-29.5838	-31.1272	  0.0000
418.0000	430.0000	-38.9107	-51.4997	  0.0000
430.0000	430.0000	-66.0640	  5.0000	  0.0000
442.0000	430.0000	-29.2931	 43.6101	  0.0000
454.0000	430.0000	  1.9146	  8.2302	  0.0000
466.0000	430.0000	     nan	     nan	  1.0000
478.0000	430.0000	     nan	     nan	  1.0000
490.0000	430.0000	     nan	     nan	  1.0000
502.0000	430.0000	  1.2917	-74.4292	  0.0000
 10.0000	418.0000	     nan	     nan	  1.0000
 22.0000	418.0000	     nan	     nan	  1.0000
 34.0000	418.0000	 31.4206	 30.0000	  0.0000
 46.0000	418.0000	 80.0000	 -5.0000	  0.0000
 58.0000	418.0000	     nan	     nan	  1.0000
 70.0000	418.0000	     nan	     nan	  1.0000
 82.0000	418.0000	-55.0000	 20.0000	  0.0000
 94.0000	418.0000	     nan	     nan	  1.0000
106.0000	418.0000	     nan	     nan	  1.0000
118.0000	418.0000	     nan	     nan	  1.0000
130.0000	418.0000	     nan	     nan	  1.0000
142.0000	418.0000	     nan	     nan	  1.0000
154.0000	418.0000	 11.8999	 -0.0000	  0.0000
166.0000	418.0000	     nan	     nan	  1.0000
